Name;ANTSRO030_2DAH;ANTSRO030_2DAH;ANTSRO030_2DAH;ANTSRO030_2DAH;ANTSRO030_2DAH;ANTSNC003_2DAH;ANTSNC003_2DAH;ANTSNC003_2DAH;ANTSNC003_2DAH;ANTSNC003_2DAH;91400071_2DAH;91400071_2DAH;91400071_2DAH;91400071_2DAH;91400071_2DAH;91400035_2DAH;91400035_2DAH;91400035_2DAH;91400035_2DAH;91400035_2DAH;NDSCAR038_2DAH;NDSCAR038_2DAH;NDSCAR038_2DAH;NDSCAR038_2DAH;NDSCAR038_2DAH;ANTSRO029_2DAH;ANTSRO029_2DAH;ANTSRO029_2DAH;ANTSRO029_2DAH;ANTSRO029_2DAH;91400028_2DAH;91400028_2DAH;91400028_2DAH;91400028_2DAH;91400028_2DAH;ANTSON013_2DAH;ANTSON013_2DAH;ANTSON013_2DAH;ANTSON013_2DAH;ANTSON013_2DAH;91400070_2DAH;91400070_2DAH;91400070_2DAH;91400070_2DAH;91400070_2DAH;CUNSBR048_2DAH;CUNSBR048_2DAH;CUNSBR048_2DAH;CUNSBR048_2DAH;CUNSBR048_2DAH;ANTSRO030_4DAH;ANTSRO030_4DAH;ANTSRO030_4DAH;ANTSRO030_4DAH;ANTSRO030_4DAH;ANTSNC003_2DAH;ANTSNC003_4DAH;ANTSNC003_4DAH;ANTSNC003_4DAH;ANTSNC003_4DAH;91400071_4DAH;91400071_4DAH;91400071_4DAH;91400071_4DAH;91400071_4DAH;91400035_4DAH;91400035_4DAH;91400035_4DAH;91400035_4DAH;91400035_4DAH;NDSCAR038_4DAH;NDSCAR038_4DAH;NDSCAR038_4DAH;NDSCAR038_4DAH;NDSCAR038_4DAH;ANTSRO029_4DAH;ANTSRO029_4DAH;ANTSRO029_4DAH;ANTSRO029_4DAH;ANTSRO029_4DAH;91400028_4DAH;91400028_4DAH;91400028_4DAH;91400028_4DAH;91400028_4DAH;ANTSON013_4DAH;ANTSON013_4DAH;ANTSON013_4DAH;ANTSON013_4DAH;ANTSON013_4DAH;91400070_4DAH;91400070_4DAH;91400070_4DAH;91400070_4DAH;91400070_4DAH;CUNSBR048_4DAH;CUNSBR048_4DAH;CUNSBR048_4DAH;CUNSBR048_4DAH;CUNSBR048_4DAH
Group;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;A_fistulosum_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;Hibrid_2DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;A_fistulosum_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH;Hibrid_14DAH
(+)-Taxifolin;0.007989005;0.030922317;0.011246007;0.013444731;0.010848589;0.016024657;0.017871134;0.018278574;0.034120414;0.054245336;0.006134829;0.01949411;0.032338846;0.010254399;0.013317349;0.047367333;0.032508356;0.066699346;0.090009153;0.091109145;0.014197114;0.018332188;0.167500354;0.065414131;0.163547288;0.011494764;0.009354061;0.013028721;0.027084622;0.126972765;0.609448554;0.572247872;0.734232332;0.703647784;0.718450559;0.409816194;0.188966323;0.40300339;0.466794104;0.48071757;0.713263304;0.694359833;0.714605592;0.718186921;0.660944779;0.679866921;0.660086193;0.612304654;0.727923029;0.741805526;0.00423157;0.009278781;0.007912381;0.013504464;0.009047068;0.053513603;0.057917128;0.02577357;0.014516533;0.085673347;0.059251454;0.03326339;0.016258668;0.046707102;0.024162746;0.02883363;0.062513295;0.058089576;0.056019343;0.061904034;0.023076015;0.078650036;0.026791265;0.027529531;0.044153268;0.008429108;0.005434172;0.006112226;0.023980573;0.005030767;0.514049441;0.377391978;0.611084248;0.482426095;0.692099761;0.4323122;0.429084017;0.407486871;0.434677835;0.434539674;0.617416675;0.67243909;0.635831185;0.645555389;0.686760651;0.630710365;0.628576096;0.617739265;0.597515369;0.671002042
Vanillic acid;0.00582862;0.005440247;0.004366092;0.005751859;0.005629598;0.019741602;0.018027593;0.013230072;0.014629562;0.013626498;0.007343972;0.004626557;0.009772372;0.004328929;0.003509375;0.02370553;0.006518281;0.011192847;0.007309408;0.019679174;0.005884862;0.008835832;0.004104957;0.002440548;0.004196359;0.002520055;0.00153611;0.002752525;0.003152592;0.002593266;0.000696134;0.00039958;0.000441102;0.000313357;0.000254911;0.000848202;0.00200327;0.000709232;0.000463917;0.000445575;0.000224131;0.000211295;0.000116176;0.000148333;0.000336296;0.00012991;0.000155103;0.000156949;0.000200849;0.000154211;0.001745802;0.001460852;0.001328346;0.001352723;0.002622132;0.009830314;0.011894996;0.009881472;0.001817031;0.007813732;0.008676617;0.003323121;0.001837508;0.00879215;0.002162675;0.004020013;0.00307698;0.005506066;0.003767233;0.007676239;0.002108489;0.001482856;0.008465326;0.001886422;0.004865316;0.001731759;0.001504221;0.001391717;0.002878994;0.001646671;0.00094444;0.001549941;0.000399266;0.000637984;0.000262378;0.001466592;0.00154383;0.001569026;0.001388699;0.001543021;0.000515752;0.000350644;0.000404428;0.000299876;0.000480378;0.00040077;0.000438487;0.00058667;0.000625099;0.000529369
Ferulic acid;0.074654404;0.075022677;0.057110822;0.079818985;0.081702934;0.072909485;0.033004682;0.084281216;0.016439264;0.015741944;0.008341458;0.009045939;0.039884372;0.020781117;0.011780922;0.156277579;0.020005468;0.055251565;0.069531128;0.106118136;0.047513723;0.052026391;0.010758449;0.019242213;0.00990139;0.035699417;0.016722074;0.031538081;0.036448299;0.040385739;0.046789392;0.013964421;0.009646729;0.013800543;0.0131296;0.02774978;0.053929248;0.025258991;0.007405268;0.014154874;0.006730066;0.005209737;0.006311542;0.005796869;0.016929692;0.007430485;0.008819535;0.009799404;0.005591399;0.005016932;0.004808387;0.005616617;0.006329736;0.007344367;0.00959848;0.031652723;0.058174801;0.025615321;0.005481241;0.031893563;0.023399541;0.01027996;0.00518745;0.024698297;0.008165345;0.019715223;0.014283533;0.032477047;0.007970554;0.046088032;0.007099818;0.004185304;0.050206594;0.007678534;0.011134212;0.006771432;0.00515779;0.005358363;0.010745053;0.012450816;0.001932936;0.001753734;0.002232799;0.009504775;0.002238172;0.002059642;0.002007987;0.002492965;0.001260519;0.001519002;0.001141495;0.002873524;0.002338682;0.003599602;0.001122298;0.002037136;0.00230731;0.001457506;0.001769496;0.001243802
Kaempferol;0.179138484;0.164113157;0.139411692;0.178387014;0.210352519;0.093150138;0.123845552;0.129882791;0.156083094;0.134593062;0.224949584;0.34901877;0.283895459;0.385767279;0.333899316;0.030166545;0.01722995;0.040698694;0.041115734;0.040004407;0.18106725;0.151632179;0.13804425;0.089555281;0.133101827;0.277763595;0.26991076;0.301572047;0.253577272;0.176281023;0.005700505;0.008933068;0.004887332;0.003833414;0.002789107;0.009044069;0.01025591;0.014486772;0.017067447;0.015227733;0.005690852;0.009888632;0.006537141;0.008189151;0.003002299;0.0080406;0.012385944;0.006100945;0.007473421;0.007343195;0.161133284;0.220827637;0.248999951;0.196570297;0.213158605;0.089866255;0.046635417;0.096305423;0.145072141;0.055998959;0.191889961;0.349359033;0.337703769;0.278443432;0.321368008;0.125385806;0.01711198;0.023518168;0.013603164;0.026867044;0.222844655;0.108156086;0.14877328;0.243094869;0.350756244;0.230747097;0.195518466;0.205906455;0.279257937;0.270487335;0.011014401;0.009007995;0.013592294;0.017638495;0.010772245;0.01401824;0.012763165;0.010430899;0.008592482;0.007161411;0.010569652;0.009894787;0.011897175;0.010204465;0.009099765;0.010295631;0.010275318;0.009959256;0.009170216;0.007900217
Quercetin;0.191861222;0.196646567;0.125403384;0.180796751;0.183124287;0.237708609;0.240239497;0.250188294;0.252992311;0.260366872;0.204506299;0.168723558;0.14783025;0.15512029;0.182308208;0.200852494;0.284137499;0.288114625;0.246380494;0.148572867;0.21644349;0.206239801;0.190673167;0.157184531;0.198588794;0.193674768;0.219167409;0.180343276;0.161193301;0.192953218;0.115265932;0.147655626;0.084930172;0.086126382;0.073656226;0.170032909;0.2004531;0.215233032;0.167302952;0.15899526;0.096731379;0.10657514;0.109297908;0.104400884;0.09724067;0.113850106;0.114566525;0.137712972;0.085157116;0.079222591;0.107332326;0.209968689;0.224225129;0.161507801;0.176221316;0.286719693;0.22561561;0.294791419;0.306159565;0.260159337;0.187556422;0.19342467;0.231612472;0.176514487;0.254527389;0.267532216;0.202087423;0.289937224;0.215852672;0.244101168;0.288358254;0.209177302;0.249402569;0.284824641;0.172577874;0.20705047;0.172599253;0.182665079;0.251300005;0.222489199;0.077523894;0.07787548;0.088621038;0.148363117;0.078374525;0.084936888;0.109129199;0.10652805;0.072715414;0.091539502;0.079831208;0.095593566;0.083423986;0.108995238;0.072239848;0.080889348;0.083610228;0.076121391;0.067761853;0.070774891
4-Hydroxybenzoic acid;0.173074168;0.156634851;0.126814222;0.156644348;0.14191184;0.154967671;0.171714435;0.122326216;0.148217365;0.131561315;0.247510668;0.142620702;0.129229106;0.134591377;0.134605492;0.140638602;0.072552391;0.097466141;0.065856801;0.132709514;0.111105118;0.104003127;0.106463474;0.192318004;0.100827424;0.085855942;0.08865297;0.117040439;0.081379584;0.057556639;0.016924656;0.015752835;0.012370951;0.015946979;0.01708095;0.037918092;0.074415634;0.022150616;0.01403426;0.020055439;0.010171137;0.007565389;0.005683112;0.006083309;0.016116856;0.005992313;0.006225229;0.007546841;0.005089604;0.004426988;0.314451113;0.165397596;0.138934167;0.221397279;0.220582689;0.091830859;0.198511036;0.116088773;0.066572808;0.168798581;0.192165797;0.126528199;0.086675845;0.135884376;0.061002341;0.091294907;0.053554379;0.071022218;0.05977074;0.090245722;0.081340702;0.148414412;0.114846067;0.079305229;0.128813178;0.137360097;0.123896711;0.129608852;0.063702983;0.097680069;0.01617699;0.032984365;0.008080755;0.016504641;0.006665937;0.029880181;0.02291119;0.028348833;0.020074716;0.022610002;0.008216163;0.009817312;0.007719359;0.006655633;0.008081438;0.008466041;0.00848438;0.00815719;0.009369627;0.006694384
Phloridzin;0.001389492;0.001066898;0.000992146;0.001292046;0.001360815;0.001668279;0.001603798;0.001778133;0.001262698;0.001082992;0;0.001594407;0.002944126;0.00245343;0.00123328;0.000918285;0.000741504;0.002067618;0.001104991;0.000581287;0.00150748;0.001625819;0.001499932;0.001253476;0.001456864;0.001743295;0.002585218;0.002281648;0.002279618;0.002579526;0.001273248;0.002474248;0.002088656;0.002764803;0.003169039;0.006425647;0.004741242;0.004057574;0.003095661;0.003634492;0.001764848;0.00214506;0.00167336;0.001998095;0.002492842;0.002162344;0.001981216;0.002555302;0.001924172;0.001985926;0.001234117;0.001898672;0.002262732;0.001696418;0.001345314;0.00055002;0.000659462;0.001009195;0.001361829;0.001301877;0;0.00216101;0.00194454;0.001696351;0.000736704;0.001023273;0.00114187;0.000832567;0.000740323;0.001001291;0.001965749;0.001041304;0.00092939;0.001906759;0.001974736;0.001681039;0.0017494;0.001748249;0.00135796;0.001239173;0.00311783;0.003843336;0.002208516;0.002874106;0.001878408;0.003841073;0.003452207;0.003716749;0.002878268;0.003232891;0.002556056;0.002009672;0.001869862;0.00214623;0.002147276;0.002638698;0.002798888;0.002638554;0.001760962;0.001983623
(+/-)-Naringenin;0.002121283;0.002190719;0.001629468;0.002299931;0.002228664;0.002719774;0.003854424;0.002787451;0.004398696;0.003863761;0.006196359;0.007512868;0.007169265;0.011941835;0.007644851;0.005001518;0.005041004;0.00953028;0.0045899;0.006000938;0.003858564;0.002366683;0.00673727;0.003886118;0.006612792;0.005187735;0.003862483;0.00656492;0.007684014;0.017346676;0.006876587;0.005907951;0.008518236;0.013263827;0.00862578;0.009431947;0.010718724;0.008712566;0.010305194;0.005719081;0.009873536;0.012004201;0.009674446;0.014832688;0.006509577;0.015874318;0.019449807;0.009959668;0.018174817;0.016097364;0.00133389;0.002261366;0.001882988;0.001435126;0.001843134;0.027010146;0.002986192;0.003813463;0.003523895;0.00666544;0.003906848;0.005486582;0.00623634;0.006086947;0.004271535;0.004974515;0.007443499;0.007086308;0.00517993;0.006338425;0.003378425;0.003524641;0.004139284;0.003495535;0.005826414;0.004440689;0.002061408;0.002122624;0.016647162;0.002722869;0.00861281;0.006775678;0.009165398;0.004666814;0.01049621;0.012636093;0.008685044;0.008639921;0.007011221;0.011464961;0.014915922;0.011225064;0.013272428;0.00841108;0.0121649;0.014809358;0.014621711;0.016090954;0.014496796;0.013044853
"3;5-DHB acid";0.018628707;0.028887218;0.015477107;0.018410881;0.021454296;0.032680907;0.040691177;0.045477861;0.045204011;0.062322649;0.0227974;0.053542726;0.031795439;0.018984226;0.04606272;0.039086251;0.249528769;0.048017771;0.137671456;0.18340406;0.122904107;0.024791526;0.087561211;0.252780538;0.090365555;0.045285818;0.061775909;0.036877622;0.020179854;0.015931389;0.023618708;0.026572127;0.015409456;0.009377725;0.009395008;0.013541563;0.056397651;0.041527076;0.117641958;0.086070592;0.012724424;0.031544904;0.009809572;0.012219781;0.00607656;0.018751673;0.037226375;0.015937258;0.046115744;0.04179078;0.273974236;0.139859619;0.10963218;0.196821242;0.152066361;0.032090747;0.012038463;0.06370963;0.131043579;0.014303719;0.016432717;0.021590358;0.04422156;0.03195733;0.040548412;0.158016291;0.405478144;0.171385641;0.396621324;0.210658958;0.024027376;0.224968654;0.020369147;0.034366278;0.027784559;0.138187173;0.1387601;0.146223182;0.062421513;0.113263555;0.270979894;0.392774648;0.151600229;0.106077694;0.107616243;0.287815575;0.276318784;0.306076594;0.360912253;0.316487576;0.165058867;0.075439771;0.147025029;0.088092465;0.125652702;0.152545613;0.150788524;0.174849281;0.214697695;0.141609011
