Genotype,Time,L,D,h,F,AP,GQI
91400028,1,22.4,11.937999999999999,104.50216642000001,11.533100000000001,0.9855929544263125,73.54017302177071
91400028,2,21.59090909090909,10.549999999999999,101.60913412636364,12.217954545454546,1.1358513118194713,69.90544980617027
91400028,3,21.0,10.806999999999999,90.226989327,11.906600000000001,1.2861096692126304,63.490345076062546
91400028,4,19.85,10.409,88.78851126,13.527090000000001,1.4363680266057892,56.85358097517918
91400035,1,25.363636363636363,18.44727272727273,91.18328544545454,13.18609090909091,0.769902665652039,76.65378298614067
91400035,2,22.0,15.418000000000001,77.435687463,14.385625,0.58367143879823,58.634040528479815
91400035,3,21.9,15.059000000000001,59.051941521,19.931,0.39744021194442103,45.213120679293134
91400035,4,20.0,13.274444444444445,48.442847041,20.4576,0.21120898509061203,36.800670625521946
91400070,1,24.3,12.221,102.26088949875,8.0842,1.519823124714636,72.48065906173998
91400070,2,24.0,10.621111111111112,101.49857306599999,10.563410000000001,1.5656646574786506,67.33572358487297
91400070,3,23.2,10.297,95.574272905,10.9873,1.611506190242665,63.183757972274066
91400070,4,23.2,10.347,83.7119873,11.14546,1.6573477230066795,55.15195225649523
91400071,1,25.454545454545453,18.888181818181817,109.94357290600001,10.07749090909091,0.8813230577867968,83.14531727637402
91400071,2,24.6,18.343,106.195027608,11.10711,0.8811598044649877,81.91308116098328
91400071,3,23.0,14.272,104.87392885199999,12.249089999999999,0.8809965511431784,75.55858665759555
91400071,4,23.7,14.687999999999999,91.233125875,15.18863,0.8808332978213693,70.10242149787518
ANTSNC003,1,26.181818181818183,17.933636363636364,104.4291395490909,13.498218181818181,0.9487874930244357,81.3857464181357
ANTSNC003,2,24.0,17.349,103.533974815,15.542869999999999,0.7406639957160173,75.56503411030204
ANTSNC003,3,23.0,16.515555555555558,100.27959482888889,17.3353,0.5325404984075988,68.99721713418656
ANTSNC003,4,21.6,14.906666666666666,88.170475011,17.1881,0.3244170010991804,56.57502649684921
ANTSON013,1,22.9,12.941999999999998,101.30894165800001,10.68652,1.4736877359713652,69.91916965964047
ANTSON013,2,22.0,10.642999999999999,87.415162624,13.495769999999998,1.6048454547128512,55.26438241022682
ANTSON013,3,21.9,10.5,85.090857766,14.965700000000002,1.736003173454337,49.40527815594244
ANTSON013,4,21.6,10.633,67.81842385111112,20.89678,1.8671608921958232,33.31118672584815
ANTSRO029,1,24.6,13.655000000000001,106.78380686,9.478159999999999,0.1257703591217835,67.38855176924064
ANTSRO029,2,23.6,13.132,103.63398727900001,10.1529125,0.2115763050646825,67.3982943147998
ANTSRO029,3,23.2,11.382,95.983354698,14.4235,0.2973822510075815,61.57482158425124
ANTSRO029,4,21.8,11.218,98.19707427099999,18.067555555555558,0.3831881969504805,58.90040398552412
ANTSRO030,1,25.363636363636363,16.975454545454543,103.0278457481818,11.730809090909093,0.7243549888672816,80.25824965920691
ANTSRO030,2,23.7,17.036,102.64119701300001,11.89197,0.9440613093580605,79.4099165082175
ANTSRO030,3,23.1,15.734,104.84155385555556,13.37403,1.1637676298488395,74.85467582015997
ANTSRO030,4,21.7,16.113,90.681329508,17.46413,1.3834739503396185,62.46229369072675
CUNSBR048,1,23.5,13.651999999999997,103.012370511,10.283555555555557,1.7319871417378316,66.40673617774858
CUNSBR048,2,23.0,12.993,98.122286715,12.73391,1.5320181478537809,66.30917037064596
CUNSBR048,3,23.1,12.501999999999999,94.35728401200001,16.386599999999998,1.3320491539697303,64.6745379205947
CUNSBR048,4,22.55,10.508,79.779896475,19.6199,1.1320801600856796,53.01046588182704
NDSCAR038,1,26.454545454545453,18.76909090909091,103.27678460727272,12.540409090909092,0.32970640872579693,75.88656276104703
NDSCAR038,2,23.5,17.947777777777777,101.608142454,11.36684,0.4136512668000714,74.58496969110817
NDSCAR038,3,20.0,16.201,92.32328644,18.42948,0.4975961248743459,60.62618324271965
NDSCAR038,4,18.8,16.089,83.947614413,19.99523,0.5815409829486204,53.873853841322436
